source_id,query_id,query,domain,subdomain,title,thumbnail,thumbnail_status,source_url,canonical_url,source_domain,creator_or_author,discovered_via,source_type,tags,content_understanding,source_quality_recommendation,source_quality_reason,human_review_status,access_status,source_expansion_status
brand_v094_003,V094,business card,brand_logo,print_collateral,CLIFFARD SEAFOOD RESTAURANT,thumbnails/brand_v094_003.jpg,AVAILABLE,https://www.behance.net/gallery/137638661/CLIFFARD-SEAFOOD-RESTAURANT,https://www.behance.net/gallery/137638661/CLIFFARD-SEAFOOD-RESTAURANT,behance.net,"Daria Klets (Prague, Czech Republic)",WebSearch + Behance project-search results (business card design),designer_portfolio_project,brand_logo;print_collateral;business_card;restaurant;mascot_character;illustration,"Full restaurant brand identity built around an illustrated elf mascot character, applied across business cards and other branding materials in a cohesive palette combining vector and raster illustration techniques.",A,"High engagement (1.5K appreciations, 11.3K views, 96 comments) with a distinctive, non-generic mascot-driven identity system directly relevant to Curify's character-illustration strengths; single project, Behance-only presence.",PENDING,ACCESSIBLE,NOT_TESTED
brand_v094_004,V094,business card,brand_logo,print_collateral,GOOD Interior Studio Logo & Visual Identity,thumbnails/brand_v094_004.jpg,AVAILABLE,https://www.behance.net/gallery/234897027/GOOD-Interior-Studio-Logo-Visual-Identity,https://www.behance.net/gallery/234897027/GOOD-Interior-Studio-Logo-Visual-Identity,behance.net,"Aryna Bukel (Minsk, Belarus)",WebSearch + Behance project-search results (business card design),designer_portfolio_project,brand_logo;print_collateral;business_card;interior_design;pattern_design;gift_certificate,"Premium-positioned interior-design-studio identity with a custom geometric pattern derived from architectural blueprint line work and a square logo referencing floor-plan units; applied across business cards, project folders, door hangers, posters, gift certificates, and paper bags.",A,"Named designer with stated, specific design rationale (pattern sourced from architectural drawings) and a wide, coherent collateral system spanning business card through gift-certificate and packaging touchpoints; decent engagement (430 appreciations, 2,757 views).",PENDING,ACCESSIBLE,NOT_TESTED
brand_v094_005,V094,business card,brand_logo,print_collateral,Nook Coffee,thumbnails/brand_v094_005.jpg,AVAILABLE,https://www.behance.net/gallery/223494785/Nook-Coffee,https://www.behance.net/gallery/223494785/Nook-Coffee,behance.net,"Bruno Lopes (Pelotas, Brazil)",WebSearch + Behance project-search results (business card design),designer_portfolio_project,brand_logo;print_collateral;business_card;coffee_shop;monogram;typography,"Coffee-shop brand identity for a real, currently-operating cafe (Nook, Pelotas, Brazil, co-located with a furniture store); humanist typeface with coffee-bean shapes worked into the letterforms, beige/black/terracotta/burnt-green palette, applied across business cards, stationery, and a style guide.",A,"Independently verified via WebSearch as a real, currently-operating business at a specific real-world location (Pelotas, Brazil) matching the case study's own description exactly; named designer with verified LinkedIn/Instagram.",PENDING,ACCESSIBLE,TESTED
pack_v098_001,V098,coffee package,packaging,food_beverage_packaging,CRAVEA | Coffee Brand Identity & Packaging | Case Study,thumbnails/pack_v098_001.jpg,AVAILABLE,https://www.behance.net/gallery/241739091/CRAVEA-Coffee-Brand-Identity-Packaging-Case-Study,https://www.behance.net/gallery/241739091/CRAVEA-Coffee-Brand-Identity-Packaging-Case-Study,behance.net,"Sleeko Studio x DewApples Studio (Dhaka, Bangladesh)",WebSearch + Behance project-search results (coffee bag packaging),studio_collaboration_project,packaging;food_beverage_packaging;coffee;bag_format;illustration;brand_identity,"Full coffee-brand identity and packaging system spanning logo, illustrated packaging elements, and UI/digital touchpoints in a single collaborative case study, combining illustration with modern typography and a coffee-category color palette.",A,"Two named collaborating studios with extensive independently-listed social presence (Facebook, Dribbble, LinkedIn, Instagram, X) and direct business contact info; comprehensive cross-touchpoint (packaging + digital) case study rather than packaging alone.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v098_002,V098,coffee package,packaging,food_beverage_packaging,ALTO ROASTERS | Coffee Brand Identity & Packaging,thumbnails/pack_v098_002.jpg,AVAILABLE,https://www.behance.net/gallery/239303367/ALTO-ROASTERS-Coffee-Brand-Identity-Packaging,https://www.behance.net/gallery/239303367/ALTO-ROASTERS-Coffee-Brand-Identity-Packaging,behance.net,"Catherine & Vlad / July Studio (Nicosia, Cyprus)",WebSearch + Behance project-search results (coffee packaging),studio_portfolio_project,packaging;food_beverage_packaging;coffee;bag_format;typography;premium_branding,Complete coffee-brand identity and packaging system (coffee bags plus branded collateral) with modern typography and a refined color palette aimed at premium positioning.,A,"High engagement (2.3K appreciations, 19.5K views) with independent third-party recognition (featured in 'Best of Behance' and MindSparkle Magazine) plus verified Instagram/email contact -- external validation beyond the platform itself.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v098_003,V098,coffee package,packaging,food_beverage_packaging,Swerl Coffee Roasters - Brand identity & packaging,thumbnails/pack_v098_003.jpg,AVAILABLE,https://www.behance.net/gallery/151709757/Swerl-Coffee-Roasters-Brand-identity-packaging,https://andreaspedersen.se/work/swerlcoffeeroasters,andreaspedersen.se (discovered via behance.net),Andreas Pedersen,"WebSearch (coffee roastery branding); discovery surface Behance, canonical source is designer's own portfolio site",designer_own_site_project,packaging;food_beverage_packaging;coffee;bag_format;retro_style;mascot,"Retro-inspired ('1972 Mercedes van') brand identity for a real specialty coffee roastery: custom swirling wordmark with chunky oval serifs evoking latte art and 1970s design, a falcon mascot derived from the city of Falkenberg's crest, applied across coffee bags, loyalty cards, and vehicle graphics.",A,"Independently verified as a real, award-winning specialty roastery (ranked in Top 100 Specialty Coffee Roasters globally; 2nd place Nordic's Best Roasters 2025) with an active commerce site (swerl.se), social channels, and municipal tourism listing -- the strongest real-business confirmation of any V098 candidate. Canonical source set to the designer's own portfolio page (richer rationale) rather than the Behance discovery listing.",PENDING,ACCESSIBLE,TESTED
pack_v098_004,V098,coffee package,packaging,food_beverage_packaging,SIPPA drip bags | Brand identity | Packaging design,thumbnails/pack_v098_004.jpg,AVAILABLE,https://www.behance.net/gallery/247587755/SIPPA-drip-bags-Brand-identity-Packaging-design,https://www.behance.net/gallery/247587755/SIPPA-drip-bags-Brand-identity-Packaging-design,behance.net,"Anna Bitens (Saint Petersburg, Russia)",WebSearch + Behance project-search results (coffee drip bag),designer_portfolio_project,packaging;food_beverage_packaging;coffee;drip_bag_format;minimalist;box_design,"Minimalist drip-bag coffee packaging built around a simple smile symbol representing 'the quiet joy of a good cup of coffee' rather than product imagery; neutral palette, refined typography, consistent across drip-bag and outer-box formats.",B,"Named designer with a distinct format (drip bags, vs. whole-bean bags in the other candidates) and a clearly stated conceptual rationale; decent engagement (515 appreciations, 5.7K views), Behance-only presence.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v098_005,V098,coffee package,packaging,food_beverage_packaging,KakaoBank Brand Goods Drip Bag Coffee Duo,thumbnails/pack_v098_005.jpg,AVAILABLE,https://www.behance.net/gallery/239381383/KakaoBank-Brand-Goods-Drip-Bag-Coffee-Duo,https://www.behance.net/gallery/239381383/KakaoBank-Brand-Goods-Drip-Bag-Coffee-Duo,behance.net,"Kakaobank Design (Seoul, Korea) -- Seunghyun Lee, Ziyoung Kim, Hyeram Kim",WebSearch + Behance project-search results (coffee drip bag),institutional_inhouse_team_project,packaging;food_beverage_packaging;coffee;drip_bag_format;corporate_merchandise;qr_integration,"Branded merchandise drip-bag coffee set (two blends, 12-pack) co-developed by KakaoBank's in-house design team and a named roastery partner (ACR), with QR codes linking to financial-themed content; minimalist packaging with dual-variation labeling.",A,"Real, well-known institution (KakaoBank, a major Korean digital bank) with a named in-house design team and named external roastery collaborator (ACR) -- the strongest institutional-authority example among all V098 candidates, though this is a corporate merch tie-in rather than an independent coffee brand's core packaging.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v120_001,V120,gift box,packaging,gift_packaging,Edifier Valentine's Day Gift Box Packaging Design,thumbnails/pack_v120_001.jpg,AVAILABLE,https://www.behance.net/gallery/233463469/Edifier-Valentines-Day-Gift-Box-Packaging-Design,https://www.behance.net/gallery/233463469/Edifier-Valentines-Day-Gift-Box-Packaging-Design,behance.net,"zwqy .lab (Hong Kong SAR) and zwqy. LIDIN (Guangzhou, China)",WebSearch + Behance project-search results (gift box packaging),designer_studio_project_for_named_brand,packaging;gift_packaging;electronics;dual_opening_structure;magnetic_closure;illustration,"Co-branded Valentine's Day gift box for audio brand Edifier: dual-opening case with magnetic closure revealing a heart-shaped gold earring under transparent PVC, plus a hidden drawer with headphones and a message card; hand-painted botanical/musical illustration motifs in champagne and gold tones.",A,"Real, well-known, established audio-electronics manufacturer (Edifier, founded 1996, global retail presence) as the named client, with a genuinely complex structural packaging mechanism (dual-opening, magnetic closure, hidden drawer) rather than a simple box.",PENDING,ACCESSIBLE,TESTED
pack_v120_002,V120,gift box,packaging,gift_packaging,2026小红书校招礼盒设计 (2026 Xiaohongshu Campus Recruitment Gift Box Design),thumbnails/pack_v120_002.jpg,AVAILABLE,https://www.behance.net/gallery/240616709/2026,https://www.behance.net/gallery/240616709/2026,behance.net,"Waves 海浪设计, Eric 邱, shuli ren, Vince Hu (Kunming, China / Italy)",WebSearch + Behance project-search results (gift box packaging),designer_studio_project_for_named_brand,packaging;gift_packaging;corporate_merchandise;kraft_paper;mixed_media;illustration,"Corporate campus-recruitment gift box for Xiaohongshu (RED), themed around 'recording': kraft-paper exterior with transparent acrylic panels, containing a disposable film camera, notebook, pens, and calendar, plus four illustrated rigid cards in colorful geometric-abstraction style.",A,"Real, major, well-known institution (Xiaohongshu/RED, a leading Chinese social-commerce platform) as the named client; concrete stated material detail (kraft paper + acrylic) and a coherent multi-item gift-set concept rather than a single box render.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v120_003,V120,gift box,packaging,gift_packaging,KOOKYCREAM - NEW YEAR GIFT BOX,thumbnails/pack_v120_003.jpg,AVAILABLE,https://www.behance.net/gallery/183841943/KOOKYCREAM-NEW-YEAR-GIFT-BOX,https://www.behance.net/gallery/183841943/KOOKYCREAM-NEW-YEAR-GIFT-BOX,behance.net,COOOT Studio (China),WebSearch + Behance project-search results (gift box packaging),studio_portfolio_project,packaging;gift_packaging;chinese_new_year;food_gifting;3d_rendering,"Chinese New Year gift box set blending traditional culinary imagery with a modern, playful visual style; built using advanced 3D tools (Substance 3D Painter/Stager/Sampler, Cinema 4D) alongside Illustrator/Photoshop.",B,"Named Pro-status studio with a real seasonal-gifting occasion concept; specific packaging materials/structure not disclosed on the page, limiting content-understanding depth relative to the other candidates.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v120_004,V120,gift box,packaging,gift_packaging,Flourishing Banquet Gift Box｜花果盛宴禮盒設計,thumbnails/pack_v120_004.jpg,AVAILABLE,https://www.behance.net/gallery/253344779/Flourishing-Banquet-Gift-Box,https://www.behance.net/gallery/253344779/Flourishing-Banquet-Gift-Box,behance.net,"AAOO STUDIO (Taipei, Taiwan)",WebSearch + Behance project-search results (gift box packaging),studio_portfolio_project,packaging;gift_packaging;botanical_illustration;gold_foil;food_beverage;box_and_interior,"Botanical-garden-inspired gift box (floral/fruit/bird illustration) with stated gold-foil accents on the exterior, and an interior that integrates brewing instructions with product display, evoking a collectible botanical-encyclopedia aesthetic.",A,"Named studio with a specific stated production/finishing detail (gold foil accents) and a considered exterior/interior functional distinction (brand identity outside, usage instructions inside) rather than a generic render.",PENDING,ACCESSIBLE,NOT_TESTED
pack_v120_005,V120,gift box,packaging,gift_packaging,Freaky Lizard | Branding & Packaging,thumbnails/pack_v120_005.jpg,AVAILABLE,https://www.behance.net/gallery/253127379/Freaky-Lizard-Branding-Packaging,https://www.behance.net/gallery/253127379/Freaky-Lizard-Branding-Packaging,behance.net,WeDesign Studio -- Yevheniia Dutchak and Elena Bolotina (Poland),WebSearch + Behance project-search results (gift box packaging),studio_portfolio_project,packaging;gift_packaging;mascot_design;glass_bottle;fmcg;display_window,Sauce-brand identity with a mascot lizard that becomes a distinct character per flavor across custom glass bottles with colored metal caps; includes a 3-bottle gift box with a display window alongside individual label/bottle designs and lifestyle photography.,A,"Named two-designer studio with a full FMCG system (bottles, labels, lifestyle photography, plus the gift-box format itself) rather than the gift box in isolation, giving strong cross-reference value to the broader packaging domain.",PENDING,ACCESSIBLE,NOT_TESTED
